Name,Address,Contact no.,Email
Sus Engineering College Tangori,"Address : Village-Tangori, P.O.-Motemajra (Via Manauli), Teh. & Distt. - Sas Nagar Tangori, Dist : S.A.S Nagar, Punjab State, India",1762 - 306155,principalsusec@sus.edu.in
Latha Mathavan Engineering College Kidaripatti,"Address : Latha Mathavan Nagar Kidaripatti Melur Taluk Madurai District, Tamil Nadu State, India",452 - 2556722,lmecmdu@yahoo.co.in
Nalla Malla Reddy Engineering College Hyderabad,"Address : 7-01-, Divyanagar, Kachivanisingaram Post, Ghatkesar Mandal, Ranga Reddy District-500 088, Andhra Pradesh Hyderabad, Dist : Rangareddi, Telangana State, India",40 - 29706020,principal@nmrec.edu.in
Annai College Of Engineering & Technology Kumbakonam,"Address : Anakudi Road, Kovilacheri, Kumbakonam, Thanjavur - District, Tamil Nadu, India",435 - 2453013,annaiclg146@gmail.com
Annamacharya Institute Of Technology & Sciences Rajampet,"Address : New Boyanapalli, Thallapaka Panchayath, Rajampet Mandalysr District, Dist : Ysr District, Andhra Pradesh State, India",8565 - 8565251861,aitsap@yahoo.co.in
City Engineering College Bangalore,"Address : Doddakallasandra, Kanakapura Road, Bangalore., Dist : Bangalore Urban, Karnataka State, India",80 - 22560313,principal@cityengineeringcollege.ac.in
Jyothi Engineering College Thrissur,"Address : Jyothi Hills, Panjal Road, Vettikkattiri(Po), Cheruthuruthy Thrissur, Kerala State, India",4884 - 274198,info@jecc.ac.in
Damisetty Bala Suresh Institute Of Technology Kavali,"Address : Maddurupadu Village, Kavali Mandal, Nellore Dt, Andhra Pradeshpin: 524 203, India",8626 - 211699,dbsinstitutions@gmail.com
Moodlakatte Institute Of Technology Kundapura,"Address : Moodlakatte, Kundapura Taluk, Udupi District, Karnataka - 576 217., India",8254 - 237258,principal@mitkundapura.com
Mookambigai College Of Engineering Keeranur,"Address : Srinivasa Nagar, Kalamavur(Po) Keeranur, Dist : Pudukkottai, Tamil Nadu State, India",4339 - 4339262273,pdkmce@gmail.com
"S.D.College Of Engineering & Technology, Muzaffarnagar","Address : Jansath Road Muzaffarnagar, Uttar Pradesh State, India",131 - 2660080,sdengg@rediffmail.com
Ballari Institute Of Technology & Management Bellary,"Address : Formerly Bellary Engineering College, Jnana Gangotri Campus, #873/2 Of Kolagal Village, Bellary-Hospet Road, Allipur, Karnataka State, India",8392 - 237100,bitmbly@gmail.com
E.G.S. Pillay Engineering College Nagapattinam,"Nagapattinam college is provider of Graduate Degree, Post Graduate Engineering And Technology, Management, Mca courses. Get institute course list, fees and contact. .. more details",4365 - 251112,principal.egspec@gmail.com
Shri Shankaracharya Institute Of Engineering And Technology Durg,"Address : Village:khapri, Dhamdha Road, Jewra Sirsa, District:durg, Chhattisgarh-491001 Durg, India",788 - 6061111,ssiet09@gmail.com
Mother Theressa College Of Engineering & Technology,"Address : Post: P.P. Colony, Peddabonkur Village, Peddapally Mandal, Karimnagar Dist, Andhra Pradesh. Peddapalle, Telangana State, India",8728 - 8728200125,mtec.86@gmail.com
C. U. Shah College Of Engineering & Technology Wadhwan,"Wadhwan college is provider of Graduate Degree, Post Graduate Engineering And Technology, Management courses. Get institute course list, fees and contact. .. more details",2752 - 247711,approval.aicte@cushahuniversity.org
Vignans Institute Of Engineering For Wome Visakhapatnam,"Address : Kapu Jaggarajupeta, Vadlapudi Post, Gajuwaka, Visakhapatnam - 530 046, Dist : Vishakhapatnam, Andhra Pradesh State, India",891 - 9133300357,viewprincipal@gmail.com
Vivekananda Institute Of Technology Jaipur,"Address : Sisyawas, Nri Road, Dantali, Jagatpura, Jaipur, Rajasthan State, India",141 - 4077999,info@vitj.ac.in
Suddhananda Engineering And Research Centre Bhubaneswar,"Address : At - Nachhipur, Po - Bhatapatna, Bhubaneswar, Khurda, Pin - 752115, Dist : Khordha, Odisha State, India",671 - 2856157,principalserc@gmail.com
University College Of Engineering. Thodupuzha,"Address : University College Of Engineerngmuttom P.O.Thodupuzphaidukki (Dist)keralapin 685 587 Thodupuzha, Dist : Idukki, Kerala State, India",4862 - 4862256222,principal@ucet.ac.in
Vasireddy Venkatadri Institute Of Technology Guntur,"Address : Nambur(V), Pedakakani(M), Guntur-522508, Andhra Pradesh State, India",863 - 2293336,principaloffice@vvit.net
Vindhya Institute Of Technology And Science Satna,"Address : Karhi Roadamoudha Satna, Madhya Pradesh State, India",7672 - 223361,sssenani@gmail.com
Kandula Obula Reddy Memorial College Of Engineering Kadapa,"Address : Tadigotla, Chintakommadinne (Mandal)kadapa Kadapa, Dist : Ysr District, Andhra Pradesh State, India",8562 - 8562244287,kormce@yahoo.co.in
Nagnathappa Halge College Of Engineering Parli-Vaijnath,"Address : Parli-Beed State Hghway, At. Brahmawadi, Post: Tokwadi, Taluka- Parli-Vaijnath, Dist : Beed, Maharashtra State, India",2446 - 224334,nhce1@hotmail.com
Aryabhatta College Of Engineering And Research Center Ajmer,"Address : Behind Mahila Kalyan Mandalchachiawas Chatari Roadajmer Ajmer, Rajasthan State, India",145 - 2625295,acmajmer@gmail.com
Shri Balasaheb Mane Shikshan Prasarak Mandals Ashokrao Mane Group Of Institutions Vathar Tarf Vadgaon,"Address : Nh4, Pune-Bengaluru Highway, Vathar Tarf Vadgaon, Dist : Kolhapur, Maharashtra State, India",230 - 2407740,bmspmcampus@gmail.com
Maria College Of Engineering And Technology Attoor,"Address : Attoor Puliyamoodu Junctionthiruvattar P.O Attoor, Dist : Kanyakumari, Tamil Nadu State, India",4651 - 282310,maria.college.of.engineering@gmail.com
Sri Sai Ranganathan Engineering College Thondamuthur,"Address : Viraliyur (Po), Thondamuthur (Via), Coimbatore-641 109, Tamilnadu., Tamil Nadu State, India",422 - 2619100,rec.cbe@gmail.com
Chandubhai S. Patel Institute Of Technology Changa,"Address :  Education Campusat & Po: Changata:petladdist:anandpin:388421, Dist : Anand, Gujarat State, India",2697 - 247500,principal.cspit@charusat.ac.in
Kommuri Pratap Reddy Institute Of Technology Hyderabad,"Address : Edulabad(V)ghanpur(Grampanchayat)ghatkesar(M), Ranga Reddy (Dist.)andhra Pradeshpin 500 088 Hyderabad, Dist : Rangareddi, Telangana State, India",40 - 27677568,kpritech@gmail.com
P.R.Engineering College Thanajvur,"Address : Thanjavur-Trichy High Waysvallam, Thanjavur. Thanajvur, Tamil Nadu State, India",4362 - 4362266940,principal@prec.edu.in
B.M.S.College Of Engineering Bangalore,"Address : Post Box No 1908, Bull Temple Road Bangalore, Dist : Bangalore Urban, Karnataka State, India",80 - 26622130,principal@bmsce.ac.in
"Vivekananda College Of Technology & Management, Aligarh","Address : Mathura Bye Pass, Near Khair Road, 500 Mtrs From Nada Pul, Aligarh, Uttar Pradesh State, India",571 - 2523132,vctmaligarh@gmail.com
Kalyani Government Engineering College,"Address : Kalyani University Campuskalyani-741235, Dist. Nadiawest Bengalindia Kalyani, West Bengal State, India",33 - 25821309,principalkgec@gmail.com
Alpine Institute Of Technology Ujjain,"Address : Gram: Chandesara, Dewas Road Ujjain, Madhya Pradesh State, India",734 - 2503411,alpine.ujjainmp@gmail.com
D. Y. Patil College Of Engineering & Technology Kolhapur,"Address : Kasaba - Bavada, Kolhapur., Maharashtra State, India",231 - 2601431,dypcet..inc.principal@gmail.com
Vivekananda Institute Of Technology - East (Formerly Vivekananda College Of Engineering) Jaipur,"Jaipur college is provider of Diploma, Graduate Degree Engineering And Technology courses. Get institute course list, fees and contact. .. more details",141 - 4077999,info@vitej.ac.in
Brilliant Institute Of Engineering & Technology Hyderabad,"Address : Abdullapur (V), Hayathnagar (M), R.R.Dist., Hyderabad-501505, Dist : Rangareddi, Telangana State, India",8415 - 201481,principal@b-iet.ac.in
College Of Engineering Poonjar Erattupetta,"Address : Poonjar Thekkekara P.O.Kottayam Districtkerala Statepin 686 582 Erattupetta, Dist : Kottayam, Kerala State, India",4822 - 4822271737,cepoonjar.ihrd@gmail.com
Smt Indira Gandhi College Of Engineering Navi Mumbai,"Address : Plot No 1, Sect 8, Ghansoli, Navi Mumbai 400701, Dist : Thane, Maharashtra State, India",22 - 8080949300,contactus@sigce.edu.in
Sagi Ramakrishnam Raju Engineering College Bhimavaram,"Address : S.R.K.R.Engineering College, Chinnaamiram, Bhimavaram, West Godavari District, Andhra Pradesh, India",8816 - 222748,principal@srkrec.ac.in
Narsimhareddy Engineering College Secunderabad,"Address : Sy.No: 518maisammaguda(V), Dullapalle, Medchal Mandalrangareddy District Secunderabad, Dist : Rangareddi, Telangana State, India",40 - 4029705454,principal@nrcmec.org
Maharshi Karve Stree Shikshan Samsthas Cummins College Of Engineering For Women Pune,"Address : Karvenagar, Pune 411 052, Maharashtra State, India",20 - 25311000,principal@cumminscollege.in
Shaikh College Of Engineering And Technology Belgaum,"Address : Abu Campus Adjacent To Rani Chennemma Universitybhootramanhattiramdurg Villagebelgaum Belgaum, Karnataka State, India",831 - 8312494545,madhsoh@sgibgm.org
Alpha College Of Engineering Thirumazhisai,,44 - 9884487551,engineering@alphagroup.edu
Bharat College Of Engineering Badlapur,"Address : Kanhor, Badlapur (West), Dist : Thane, Maharashtra State, India",251 - 2665001,info@bharatedu.co.in
Abss Institute Of Technology Meerut,"Address : Salarpur, Mawana Road, Meerut, U.P, Uttar Pradesh State, India",121 - 2622014,vc@abss.edu.in
Drk Institute Of Science And Technology Hyderabad,"Address : Bowrampet (V), Via Air Force Academyqutballapur Mandalranga Reddy Dist.500043 Hyderabad, Dist : Rangareddi, Telangana State, India",8418 - 8418242500,principal.n7@gmail.com
Gandhi Engineering College Bhubaneswar,"Address : At: Badaraghunathpur, Po: Madanpuroff Nh 5 On Gahira Square Bhubaneswar, Dist : Khordha, Odisha State, India",674 - 2555558,manas.panda@gandhi.ac.in
Global Academy Of Technology Bangalore,"Address : Ideal Homes Townshiprajarajeshwarinagarbangalore-560098 Bangalore, Dist : Bangalore Urban, Karnataka State, India",80 - 28603158,principal@gat.ac.in
Sophitorium Engineering College Khurda,"Address : In Front Road Of Collectors Office, Khurda, Baniatangi, Khurda, Bhubaneswar, Orissa, Pin-752060, Dist : Khordha, Odisha State, India",6755 - 243700,info@sophitorium.org
Jagadambha College Of Engineering & Technology Yavatmal,"Address : Survey No:167/1, 167/2, 163arni Road, Kinhi Yavatmal-445001, Maharashtra State, India",7232 - 244226,principal@jcoet.org
Ganapathy Engineering College Warangal,"Address : Hunter Road, Rangasaipet, Warangal - 506005 (A.P.), Telangana State, India",870 - 2435269,gecprincipal@yahoo.co.in
Nirmala College Of Engineering Chalakudy,"Address : Kunnappilly Po Chalakudy, Dist : Thrissur, Kerala State, India",480 - 2739800,nicechalakudy@gmail.com
Institute Of Technology & Science Paluwas,"Address : 5 Km Mile Stone, Bhiwani Paluwas, Haryana State, India",1664 - 1664243383,info@itsbhiwani.com
Kamaraj College Of Engineering & Technology Virudhunagar,"Address : S.P.G.C.Nagar Post Box 12k. Vellakulamvirudhunagar Virudhunagar, Tamil Nadu State, India",954549 - 278171,mail@kamarajengg.edu.in
Ashoka Institute Of Technology & Management Rajnandgaon,"Address : Gram- Torankatta, Post- Somni, G.E. Road, Rajnandgaon (C.G), Chhattisgarh State, India",7744 - 326090,rupeshshri1990@gmail.com
Advanced Institute Of Technology And Management Palwal,"Address : 70 Km, Delhi - Mathura Roadv.P.O : Aurangabad Tehsil : Hodaldistrict : Palwal (Haryana), Haryana State, India",1275 - 298300,aitm.act@gmail.com
Bansal Institute Of Research And Technology Bhopal,"Address : Raisen Road, Kokta, Anandnagar, Bhopal, Madhya Pradesh State, India",755 - 6264974252,birtbpl@gmail.com
Priyadarshini Bhagwati College Of Engineering Nagpur,"Address : Harpur Nagar, Umrer Road, Nagpur - 440009, Maharashtra State, India",712 - 7122710281,principalpbcoe@gmail.com
Lakshmi Narain College Of Technology & Science Bhopal,"Address : Kalchuri Nagar, Raisen Road Bhopal, Madhya Pradesh State, India",755 - 3985300,lnctsbhopa@lnct.ac.in
"Faculty Of Engineering & Technology, R.B.S.College, Bichpuri",,562 - 2636675,rbsetcagra@gmail.com
"Priyadarshini J.L.College Of Engineering, Nagpur","Address : 846, New Nandanvan, Nagpur, Maharashtra State, India",712 - 7122711505,principaljlcce@gmail.com
Jaya Institute Of Technology Thiruvallur,"Address : Kanchipadi, Thiruvallur-Thiruthani Nh Road, Thiruvallur Tk, Thiruvallur Dt., Tamil Nadu State, India",44 - 27894111,lcrcet@gmail.com
B.G.S Institute Of Technology Mandya,"Address : B.G.Nagara, Nagamangala Talukmandya District 571448 Mandya, Karnataka State, India",8234 - 8234288418,principalbgsit@gmail.com
Mizoram Polytechnic Lunglei,"Address : Lunglei Lunglei, Mizoram State, India",372 - 2324850,hmuaka@rediffmail.com
"Lakshmi Narain College Of Technology, Indore","Address : Village Bhawrasala, Sanwer Road, Indore (M.P.), Madhya Pradesh State, India",731 - 4253100,suprabhat@lnctindore.com
Gita Bhubaneswar,"Address : At: Badaraghunathpur, Po: Madanpurvia: Jaanla Bhubaneswar, Dist : Khordha, Odisha State, India",674 - 2538660,gita@gita.edu.in
Maharishi Arvind International Institute Of Technology Kota,"Address : Ipa-1, Riico Institutional Areajhalawar Roadranpurkota-325003rajasthan Kota, Rajasthan State, India",744 - 5122156,"maiit,kota@gmail.com"
Budge Budge Institute Of Technology Kolkata,"Address : Nischintapur Budge Budge Kolkata, Dist : South 24 Parganas, West Bengal State, India",33 - 24820676,executivedirector@bbit.edu.in
Rajarshi Shahu College Of Engineering Buldana,"Address : Near Palna Ghar, Shahu Nagar, Sagwan, Buldana, Dist : Buldhana, Maharashtra State, India",7262 - 287167,rsc_engg@rediffmail.com
K. K. Wagh Institute Of Engineering Education & Research Nashik,"Address : Hirabai Haridas Vidyanagari, Amrutdham, Panchavati, Nashik, Maharashtra State, India",253 - 2221303,kkwieer@kkwagh.edu.in
Thakur College Of Engineering & Technology Mumbai,"Address : Shyamnarayan Thakur Marg, Thakur Village, Kandivali ( East ), Mumbai -400101., Dist : Mumbai Suburban, Maharashtra State, India",22 - 67308106,tcet@thakureducation.org
Nri Institute Of Information Science And Technology Bhopal,"Address : 1, Sajjan Singh Nagar, Opp. Patel Nagar, Raisen Road, Bhopal - 462021(Mp), Madhya Pradesh State, India",755 - 4085500,principal@nrigroupindia.com
Axis Institute Of Technology And Management Kanpur,"Address : Vill-Hathipur, Kanpur Sadar, Dist : Kanpur Nagar, Uttar Pradesh State, India",512 - 3275773,info@axiscolleges.in
Synergy Institute Of Technology Bhubaneswar,"Address : At: Bhimpur, Via: Phulnakhara, Po: Pahala, Bhubaneswar, Dist: Khurda, Orissa, India, Dist : Khordha, Odisha State",671 - 2356150,binoddash@synergyinstitute.ac.in
R.V. College Of Engineering Bangalore,"Address : R.V. Vidyaniketan Post, Mysore Road Bangalore, Dist : Bangalore Urban, Karnataka State, India",80 - 67178020,principal@rvce.edu.in
Gate Institute Of Technology And Sciences Ramapuram,"Address : Ramapuram(Vill)kodad(Post)chilkuru(Mandal)nalgonda(Dist)andhra Pradesh-508206 Ramapuram, Dist : Nalgonda, Telangana State, India",8683 - 255319,principal.qe@gmail.com
Jayawant Shikshan Prasarak Mandals Imperial College Of Engineering And Research Pune,"Address : Gat No- 720 (1 And 2) Pune-Nagar Road, At Post-Wagholi, Taluka-Haveli, District-Pune, Pin-412207, Maharashtra State, India",20 - 2067335100,principal@jspmicoer.edu.in
Vedant College Of Engineering & Technology Bundi,"Address : Village: Tulsi, P.O:- Jakhmund, Distt:- Bundi, Rajasthan State, India",747 - 2141611,vcetbundi08@yahoo.com
Alpha College Of Engineering & Technology Puducherry,"Address : Kanniakoil To Bahour Main Roadbahour Puducherry, India",413 - 2611556,principal@aceatech.com
Info Institute Of Engineering Coimbatore,"Address : S F No.194-200, N.H.209, Sathy Road, Sarakarsamakulam, Kovilpalayam, Coimbatore-641107., Tamil Nadu State, India",422 - 2363700,info@infoengg.com
Vishveshwarya Group Of Institutions Dadri,"Address : 20kms. From Ghaziabad On Ghaziabad - Bulandshahr Main G.T.Road Dadri, Dist : Gautam Buddha Nagar, Uttar Pradesh State, India",120 - 2446363,directoradmin@vgi.ac.in
St.Thomas College Of Engineering & Technology Chengannur,"Address : Kozhuvaloor P.O, Venmoney, Chengannur, Alappuzha (Dist.), Kerala, Pin : 689 521, India",479 - 2369993,info@stcet.net
"Nshm Knowledge Campus, Durgapur - Group Of Institutions","Durgapur college is provider of Diploma, Graduate Degree, Post Graduate Engineering And Technology, Hotel Management And Catering, Engineering And Technology, Management courses. Get institute course list, fees and contact. .. more details",343 - 2533813,contactus@nshm.com
Peri Institute Of Technology Chennai,"Address : Mannivakkam, Tambaram, Chennai, Dist : Kanchipuram, Tamil Nadu State, India",44 - 66813331,principal@periit.com
"University Institute Of Technology, Rgpv, Bhopal","Address : Narsinghgarh Bypass Road, Gandhi Nagar Bhopal, Madhya Pradesh State, India",755 - 2678812,uit_director@rgtu.net
Achariya College Of Engineering Technology Uruvaiyaru,"Uruvaiyaru college is provider of Diploma, Graduate Degree Engineering And Technology courses. Get institute course list, fees and contact. .. more details",413 - 4132660154,ceo@achariya.in
